T (°C)	φ (°)	Δφ (°)	χ (°)	Δχ (°)	ψ (°)	Δψ (°)	ω (°)	Δω (°)
25	56.918	0.667	70.871	0.936	109.129	1.140	132.438	1.091
40	57.101	0.662	71.297	0.941	108.703	1.143	132.762	1.083
60	57.273	0.657	71.663	0.938	108.337	1.141	132.686	1.067
80	57.400	0.659	71.943	0.937	108.057	1.138	132.661	1.055
100	57.424	0.619	72.280	0.886	107.720	1.097	132.974	0.986
120	57.622	0.621	72.595	0.889	107.405	1.098	132.829	0.986
140	57.936	0.623	72.739	0.913	107.261	1.128	132.512	0.988
160	58.172	0.669	73.207	0.942	106.793	1.141	132.139	1.057
180	58.434	0.678	73.469	0.945	106.531	1.143	131.706	1.075
200	58.428	0.679	73.601	0.946	106.399	1.142	131.461	1.073
220	58.246	0.679	73.840	0.953	106.160	1.144	131.777	1.087
230	58.379	0.680	73.723	0.946	106.277	1.141	131.684	1.089
240	58.062	0.678	73.601	0.945	106.399	1.141	132.041	1.090
250	58.046	0.669	73.625	0.921	106.375	1.114	132.285	1.073
260	57.962	0.668	73.266	0.943	106.734	1.142	132.288	1.074
270	57.766	0.666	73.211	0.921	106.789	1.116	132.558	1.076
280	57.680	0.674	73.008	0.967	106.992	1.174	132.580	1.077
290	57.793	0.673	73.081	0.968	106.918	1.175	132.452	1.078
300	57.768	0.672	72.863	0.991	107.137	1.206	132.332	1.079
