T (°C)	φ (°)	Δφ (°)	χ (°)	Δχ (°)	ψ (°)	Δψ (°)	ω (°)	Δω (°)
25	62.684	0.966	77.209	1.174	102.791	1.354	120.429	1.438
40	62.657	0.954	77.688	1.170	102.312	1.349	120.424	1.408
60	62.936	0.922	78.156	1.102	101.843	1.284	120.503	1.365
80	63.339	0.928	78.238	1.101	101.762	1.287	120.039	1.365
100	63.748	0.932	79.082	1.109	100.918	1.288	119.838	1.369
120	64.645	0.942	79.603	1.116	100.397	1.293	118.806	1.360
140	64.938	0.947	80.014	1.124	99.986	1.299	118.613	1.362
160	65.359	0.966	79.707	1.126	100.293	1.321	118.049	1.381
180	65.984	0.969	80.356	1.085	99.644	1.247	117.254	1.371
200	66.500	0.950	80.737	1.079	99.263	1.241	116.793	1.333
220	67.223	0.967	80.806	1.091	99.194	1.251	115.878	1.350
230	66.609	0.967	80.786	1.087	99.214	1.246	116.201	1.353
240	67.185	0.988	80.849	1.083	99.151	1.263	115.374	1.355
250	67.459	0.990	80.068	1.084	99.932	1.272	114.893	1.350
260	67.251	0.987	79.895	1.082	100.105	1.271	115.038	1.352
270	68.324	1.047	79.844	1.116	100.156	1.286	113.344	1.420
280	68.718	1.055	79.606	1.109	100.394	1.281	112.597	1.392
290	69.154	1.050	80.290	1.116	99.710	1.283	112.669	1.397
300	69.159	1.033	81.016	1.113	98.984	1.277	112.710	1.362
