T(°C)	d1(F—F)	Δd1(F—F)	d2(F—F)	Δd2(F—F)	F1—O2—F2	ΔF1—O2—F2
25	5.3763	0.0247	3.1786	0.0312	148.524	0.993
40	5.3809	0.0247	3.1777	0.0312	148.058	0.989
60	5.3804	0.0247	3.1728	0.0305	148.025	0.988
80	5.3791	0.0231	3.1719	0.0293	148.134	0.964
100	5.3827	0.0231	3.1706	0.0293	147.775	0.889
120	5.3849	0.0231	3.1674	0.0293	147.972	0.889
140	5.3837	0.0231	3.1763	0.0293	147.941	0.890
160	5.3822	0.0231	3.1782	0.0293	148.245	0.965
180	5.3853	0.0231	3.1807	0.0293	148.508	0.966
200	5.3856	0.0231	3.1840	0.0294	148.736	0.967
220	5.3780	0.0248	3.2011	0.0306	148.371	0.991
230	5.3715	0.0248	3.2150	0.0306	148.311	0.993
240	5.3707	0.0248	3.2120	0.0306	147.942	0.992
250	5.3811	0.0249	3.2068	0.0306	147.959	0.991
260	5.3824	0.0249	3.2073	0.0306	147.715	0.990
270	5.3831	0.0249	3.2109	0.0306	147.523	0.991
280	5.3839	0.0265	3.2167	0.0318	147.373	1.005
290	5.3940	0.0265	3.2075	0.0318	147.490	1.004
300	5.4002	0.0265	3.2074	0.0331	147.555	1.009
