T(°C)	d1(F—F)	Δd1(F—F)	d2(F—F)	Δd2(F—F)	F1—O2—F2	ΔF1—O2—F2
25	5.7107	0.0384	2.9004	0.0453	162.632	1.543
40	5.7164	0.0384	2.8904	0.0453	162.226	1.539
60	5.7207	0.0385	2.8841	0.0446	162.757	1.465
80	5.7118	0.0385	2.9025	0.0446	163.015	1.468
100	5.7124	0.0385	2.9091	0.0453	163.650	1.474
120	5.7275	0.0385	2.9105	0.0447	164.228	1.467
140	5.7161	0.0385	2.9220	0.0454	164.432	1.472
160	5.7328	0.0385	2.9157	0.0448	164.611	1.472
180	5.7436	0.0386	2.8926	0.0448	165.247	1.463
200	5.7470	0.0386	2.8988	0.0448	165.664	1.463
220	5.7415	0.0371	2.8890	0.0437	166.260	1.450
230	5.7400	0.0386	2.9093	0.0449	166.061	1.465
240	5.7549	0.0386	2.8818	0.0455	165.829	1.466
250	5.7609	0.0387	2.8578	0.0445	165.757	1.463
260	5.7601	0.0387	2.8702	0.0462	165.887	1.467
270	5.7812	0.0387	2.8603	0.0470	166.627	1.537
280	5.7888	0.0387	2.8554	0.0470	165.342	1.527
290	5.7829	0.0387	2.8572	0.0462	166.185	1.530
300	5.7775	0.0372	2.8675	0.0452	165.794	1.516
