T	a	da	b	db	c	dc	Betta	dbetta	V	dV
25	8.00124	0.00033	5.40570	0.00027	7.62227	0.00033	101.92210	0.00300	322.56900	0.02400
40	8.00459	0.00033	5.40797	0.00027	7.62331	0.00033	101.94250	0.00300	322.86000	0.02400
60	8.00974	0.00030	5.41156	0.00027	7.62525	0.00030	101.97180	0.00270	323.32900	0.02400
80	8.01470	0.00030	5.41506	0.00024	7.62706	0.00030	101.99860	0.00270	323.78300	0.02400
100	8.01960	0.00030	5.41858	0.00024	7.62897	0.00030	102.02640	0.00270	324.23900	0.02400
120	8.02447	0.00030	5.42217	0.00024	7.63081	0.00030	102.05550	0.00270	324.69400	0.02400
140	8.02944	0.00030	5.42581	0.00027	7.63270	0.00030	102.08690	0.00270	325.15600	0.02400
160	8.03461	0.00030	5.42956	0.00027	7.63485	0.00030	102.11890	0.00270	325.64300	0.02400
180	8.03946	0.00030	5.43321	0.00027	7.63695	0.00030	102.14970	0.00270	326.11100	0.02400
200	8.04387	0.00030	5.43654	0.00027	7.63899	0.00033	102.18030	0.00300	326.53900	0.02400
220	8.04786	0.00033	5.43975	0.00027	7.64107	0.00033	102.20810	0.00300	326.94900	0.02700
230	8.04951	0.00033	5.44126	0.00027	7.64236	0.00033	102.22330	0.00300	327.14300	0.02700
240	8.05176	0.00033	5.44306	0.00027	7.64362	0.00033	102.23940	0.00300	327.37700	0.02700
250	8.05444	0.00030	5.44522	0.00027	7.64502	0.00033	102.25680	0.00270	327.65500	0.02400
260	8.05763	0.00030	5.44770	0.00024	7.64637	0.00030	102.27690	0.00240	327.96600	0.02400
270	8.06129	0.00027	5.45047	0.00024	7.64778	0.00030	102.29880	0.00240	328.31500	0.02100
280	8.06547	0.00027	5.45344	0.00024	7.64915	0.00027	102.32370	0.00240	328.69200	0.02100
290	8.07039	0.00027	5.45687	0.00024	7.65056	0.00027	102.35100	0.00240	329.12600	0.02100
300	8.07631	0.00027	5.46084	0.00024	7.65190	0.00030	102.38210	0.00240	329.62600	0.02100
