T	a	da	b	db	c	dc	Betta	dbetta	V	dV
25	8.09557	0.00027	5.43657	0.00018	7.49415	0.00024	102.13200	0.00210	322.46700	0.01800
40	8.09822	0.00027	5.43924	0.00018	7.49593	0.00024	102.15130	0.00210	322.78400	0.01800
60	8.10188	0.00027	5.44293	0.00018	7.49840	0.00024	102.17770	0.00180	323.22400	0.01800
80	8.10543	0.00027	5.44660	0.00018	7.50089	0.00024	102.20400	0.00180	323.65900	0.01800
100	8.10918	0.00027	5.45032	0.00018	7.50341	0.00024	102.23010	0.00180	324.10600	0.01800
120	8.11306	0.00027	5.45410	0.00018	7.50604	0.00024	102.25560	0.00180	324.56900	0.01800
140	8.11702	0.00027	5.45795	0.00018	7.50876	0.00024	102.28210	0.00180	325.04100	0.01800
160	8.12103	0.00027	5.46184	0.00018	7.51151	0.00024	102.30940	0.00180	325.51900	0.01800
180	8.12505	0.00027	5.46584	0.00018	7.51420	0.00024	102.33710	0.00180	326.00200	0.01800
200	8.12916	0.00024	5.46984	0.00018	7.51705	0.00024	102.36450	0.00180	326.49400	0.01800
220	8.13349	0.00024	5.47399	0.00018	7.52006	0.00024	102.39270	0.00180	327.01200	0.01800
230	8.13564	0.00024	5.47605	0.00018	7.52160	0.00024	102.40750	0.00180	327.26900	0.01800
240	8.13775	0.00024	5.47810	0.00018	7.52312	0.00024	102.42170	0.00180	327.52500	0.01800
250	8.13978	0.00024	5.48012	0.00018	7.52467	0.00024	102.43630	0.00180	327.77700	0.01800
260	8.14204	0.00024	5.48228	0.00018	7.52626	0.00024	102.45120	0.00180	328.04800	0.01800
270	8.14431	0.00024	5.48447	0.00018	7.52793	0.00024	102.46580	0.00210	328.32500	0.01800
280	8.14634	0.00024	5.48647	0.00018	7.52928	0.00024	102.47990	0.00180	328.56700	0.01800
290	8.14858	0.00024	5.48862	0.00018	7.53089	0.00024	102.49470	0.00180	328.83800	0.01800
300	8.15054	0.00024	5.49072	0.00018	7.53229	0.00024	102.50970	0.00180	329.08500	0.01800
