T(°C)	V(Na-poly)	ΔV(Na-poly)	V(Nb-poly)	ΔV(Nb-poly)
25	26.0071	0.1000	10.1614	0.1000
40	26.1025	0.1000	10.1360	0.1000
60	26.1896	0.1000	10.1258	0.1000
80	26.2837	0.1000	10.0970	0.1000
100	26.4083	0.1000	10.0666	0.1000
120	26.4926	0.1000	10.0475	0.1000
140	26.5958	0.1000	10.0296	0.1000
160	26.7099	0.1000	9.9953	0.1000
180	26.7981	0.1000	9.9857	0.1000
200	26.8620	0.1000	9.9994	0.1000
220	26.8968	0.1000	9.9849	0.1000
230	26.9219	0.1000	9.9718	0.1000
240	26.9243	0.1000	9.9762	0.1000
250	26.9203	0.1000	9.9676	0.1000
260	26.8858	0.1000	9.9845	0.1000
270	26.9167	0.1000	9.9706	0.1000
280	26.9013	0.1000	9.9743	0.1000
290	26.8781	0.1000	9.9740	0.1000
300	26.8797	0.1000	9.9816	0.1000
