T(°C)	V(Na-poly)	ΔV(Na-poly)	V(M-poly)	ΔV(Nb-poly)
25	24.6209	0.1000	10.6476	0.1000
40	24.5946	0.1000	10.6747	0.1000
60	24.6537	0.1000	10.6369	0.1000
80	24.7787	0.1000	10.6019	0.1000
100	24.8368	0.1000	10.5642	0.1000
120	24.9356	0.1000	10.5663	0.1000
140	25.0381	0.1000	10.536	0.1000
160	25.1082	0.1000	10.5591	0.1000
180	25.2137	0.1000	10.5588	0.1000
200	25.3115	0.1000	10.5481	0.1000
220	25.4455	0.1000	10.5418	0.1000
230	25.3333	0.1000	10.558	0.1000
240	25.3966	0.1000	10.5755	0.1000
250	25.4179	0.1000	10.6075	0.1000
260	25.3882	0.1000	10.6138	0.1000
270	25.4191	0.1000	10.6581	0.1000
280	25.4504	0.1000	10.6743	0.1000
290	25.6067	0.1000	10.6165	0.1000
300	25.6365	0.1000	10.622	0.1000
