"T(°C)	"	Nb–O1	Δ[Nb–O1]	Nb–O1b	Δ[Nb–O1b]	Nb–O2a	Δ[Nb–O2a]	Nb–F2	Δ[Nb–F2]
25	1.9565	0.0318	2.0183	0.0323	1.9705	0.0279	1.9996	0.0197
40	1.9517	0.0318	2.0231	0.0323	1.9742	0.0279	2.0004	0.0188
60	1.9372	0.0318	2.0388	0.0323	1.981	0.0266	1.9965	0.0188
80	1.9199	0.0318	2.0531	0.0324	1.9764	0.0266	1.991	0.0188
100	1.8932	0.0317	2.0731	0.0322	1.9826	0.0265	1.9865	0.0188
120	1.8878	0.0317	2.0773	0.0322	1.9852	0.0265	1.9784	0.0188
140	1.8697	0.0317	2.0924	0.0324	1.9881	0.0265	1.9836	0.0188
160	1.8623	0.0318	2.0951	0.0324	1.9788	0.0266	1.9814	0.0188
180	1.8425	0.0318	2.1086	0.0325	1.9777	0.028	1.9856	0.0188
200	1.8446	0.0319	2.1046	0.0325	1.9753	0.028	1.9832	0.0188
220	1.8455	0.0319	2.1045	0.0326	1.9814	0.028	1.9818	0.0189
230	1.8492	0.0319	2.1022	0.0325	1.9839	0.028	1.984	0.0189
240	1.8447	0.0319	2.1072	0.0325	1.9927	0.028	1.9795	0.0189
250	1.848	0.0319	2.1018	0.0324	1.9982	0.0267	1.9751	0.0189
260	1.8546	0.0319	2.0976	0.0325	2.0011	0.0267	1.9852	0.0189
270	1.8416	0.0319	2.1067	0.0324	2.0009	0.0268	1.9875	0.0189
280	1.8632	0.0342	2.0857	0.0347	2.0092	0.0268	1.9846	0.0198
290	1.8647	0.0342	2.0836	0.0347	2.0012	0.0268	1.9972	0.0198
300	1.8844	0.0364	2.0607	0.0368	2.0105	0.0268	1.993	0.0198
