T (°C)	Ta–O1	Δ[Ta–O1]	Ta–O1'	Δ[Ta–O1']	Ta–O2	Δ[Ta–O2]	Ta–F2	Δ[Ta–F2]
25	1.9568	0.0345	2.044	0.0363	1.854	0.0298	2.0706	0.0261
40	1.9512	0.0345	2.0576	0.0363	1.8604	0.0286	2.0772	0.0261
60	1.9425	0.0324	2.0694	0.0341	1.8529	0.0283	2.0727	0.0261
80	1.9433	0.0324	2.0599	0.034	1.8478	0.0283	2.0746	0.0261
100	1.9423	0.0323	2.0643	0.0341	1.8335	0.0283	2.077	0.0261
120	1.9318	0.0324	2.0704	0.0341	1.825	0.0283	2.0871	0.0261
140	1.9295	0.0324	2.074	0.0341	1.8195	0.0283	2.0849	0.0261
160	1.918	0.0324	2.0809	0.0342	1.8206	0.0297	2.0888	0.0261
180	1.9245	0.0303	2.071	0.0319	1.815	0.0296	2.0896	0.0262
200	1.9131	0.0303	2.0853	0.032	1.8113	0.0284	2.0886	0.0254
220	1.9099	0.0303	2.0891	0.032	1.7931	0.0296	2.0929	0.0244
230	1.9085	0.0303	2.0931	0.032	1.7992	0.0296	2.0868	0.0254
240	1.9171	0.0303	2.0835	0.0321	1.8112	0.0297	2.0869	0.0263
250	1.9127	0.0304	2.0872	0.032	1.8195	0.0297	2.0878	0.0263
260	1.9156	0.0303	2.0875	0.032	1.8136	0.0297	2.0856	0.0263
270	1.9015	0.0303	2.1051	0.0321	1.8193	0.0313	2.0833	0.0263
280	1.9089	0.0303	2.1	0.0321	1.8379	0.0313	2.0821	0.0264
290	1.9048	0.0303	2.0986	0.0321	1.826	0.0313	2.0785	0.0256
300	1.9119	0.0303	2.0966	0.0321	1.8324	0.0301	2.0868	0.0245
