T(°C)	V(Na-DI)	ΔV(Na-DI)	V(Nb-DI)	ΔV(Nb-DI)
25	0.09599	0.00100	0.04043	0.00100
40	0.09761	0.00100	0.04100	0.00100
60	0.09592	0.00100	0.04332	0.00100
80	0.09533	0.00100	0.04281	0.00100
100	0.09546	0.00100	0.04481	0.00100
120	0.09727	0.00100	0.04758	0.00100
140	0.09860	0.00100	0.04811	0.00100
160	0.09812	0.00100	0.05009	0.00100
180	0.09978	0.00100	0.04992	0.00100
200	0.10024	0.00100	0.05232	0.00100
220	0.10567	0.00100	0.05527	0.00100
230	0.10203	0.00100	0.05514	0.00100
240	0.10344	0.00100	0.05206	0.00100
250	0.10533	0.00100	0.05169	0.00100
260	0.10394	0.00100	0.05245	0.00100
270	0.10334	0.00100	0.05479	0.00100
280	0.10586	0.00100	0.05068	0.00100
290	0.10672	0.00100	0.05213	0.00100
300	0.10833	0.00100	0.05009	0.00100
