T(°C)	Na–F1	Δ[Na–F1]	Na–F1'	Δ[Na–F1']	Na–F1''	Δ[Na–F1'']	Na–F2	Δ[Na–F2]
25	2.2457	0.0235	2.3724	0.0309	2.8528	0.0295	2.2322	0.0299
40	2.2383	0.0230	2.3904	0.0294	2.8569	0.0288	2.2383	0.0290
60	2.2435	0.0230	2.3854	0.0290	2.8654	0.0280	2.2436	0.0272
80	2.2337	0.0212	2.3984	0.0282	2.8665	0.0275	2.2610	0.0267
100	2.2287	0.0202	2.4038	0.0282	2.8709	0.0275	2.2649	0.0267
120	2.2267	0.0202	2.4094	0.0282	2.8622	0.0275	2.2725	0.0267
140	2.2321	0.0202	2.4084	0.0282	2.8615	0.0275	2.2648	0.0267
160	2.2238	0.0202	2.4313	0.0282	2.8473	0.0276	2.2755	0.0267
180	2.2265	0.0212	2.4327	0.0282	2.8435	0.0276	2.2748	0.0267
200	2.2189	0.0213	2.4360	0.0283	2.8314	0.0276	2.2796	0.0267
220	2.2192	0.0229	2.4491	0.0283	2.8183	0.0276	2.2922	0.0267
230	2.2255	0.0229	2.4537	0.0283	2.8150	0.0276	2.2856	0.0267
240	2.2240	0.0227	2.4566	0.0276	2.8086	0.0273	2.3041	0.0262
250	2.2293	0.0228	2.4610	0.0276	2.8000	0.0273	2.3002	0.0263
260	2.2377	0.0228	2.4662	0.0276	2.7956	0.0273	2.3048	0.0263
270	2.2339	0.0228	2.4846	0.0276	2.7856	0.0273	2.3146	0.0263
280	2.2348	0.0228	2.4929	0.0276	2.7712	0.0273	2.3188	0.0263
290	2.2409	0.0228	2.5092	0.0276	2.7666	0.0273	2.3219	0.0263
300	2.2405	0.0229	2.5155	0.0284	2.7496	0.0287	2.3327	0.0275
