T(°C)	Na–F1	Δ[Na–F1]	Na–F1'	Δ[Na–F1']	Na–F1''	Δ[Na–F1'']	Na–F2	Δ[Na–F2]
25	2.1868	0.0333	2.2429	0.0374	2.5935	0.0377	2.2480	0.0341
40	2.1833	0.0325	2.2486	0.0374	2.5948	0.0376	2.2421	0.0341
60	2.1900	0.0325	2.2500	0.0365	2.5969	0.0361	2.2473	0.0342
80	2.1990	0.0325	2.2561	0.0366	2.5909	0.0361	2.2403	0.0342
100	2.2033	0.0326	2.2668	0.0375	2.5829	0.0376	2.2404	0.0342
120	2.1859	0.0323	2.2820	0.0360	2.5751	0.0359	2.2356	0.0337
140	2.1907	0.0323	2.2850	0.0370	2.5758	0.0374	2.2399	0.0337
160	2.1766	0.0323	2.3033	0.0361	2.5716	0.0359	2.2421	0.0337
180	2.1794	0.0323	2.2849	0.0361	2.5866	0.0360	2.2460	0.0337
200	2.1752	0.0320	2.2939	0.0354	2.5864	0.0357	2.2487	0.0332
220	2.1624	0.0320	2.3009	0.0354	2.6063	0.0357	2.2558	0.0332
230	2.1633	0.0318	2.3244	0.0349	2.5646	0.0355	2.2575	0.0327
240	2.1535	0.0324	2.3084	0.0370	2.5897	0.0376	2.2616	0.0337
250	2.1536	0.0324	2.3011	0.0370	2.6047	0.0376	2.2781	0.0338
260	2.1579	0.0324	2.3173	0.0370	2.5879	0.0376	2.2787	0.0349
270	2.1527	0.0328	2.3112	0.0386	2.5742	0.0395	2.2807	0.0349
280	2.1173	0.0325	2.3479	0.0379	2.5704	0.0392	2.2837	0.0349
290	2.1131	0.0322	2.3544	0.0364	2.5714	0.0374	2.2937	0.0339
300	2.1102	0.0305	2.3650	0.0357	2.5648	0.0370	2.2840	0.0339
