T(°C)	V(Na-DI)	ΔV(Na-DI)	V(Nb-DI)	ΔV(Nb-DI)
25	0.10318	0.00100	0.01411	0.00100
40	0.10436	0.00100	0.01418	0.00100
60	0.10505	0.00100	0.01484	0.00100
80	0.10533	0.00100	0.01753	0.00100
100	0.10465	0.00100	0.02039	0.00100
120	0.10416	0.00100	0.02075	0.00100
140	0.10363	0.00100	0.02383	0.00100
160	0.10372	0.00100	0.02441	0.00100
180	0.10317	0.00100	0.02789	0.00100
200	0.10313	0.00100	0.02655	0.00100
220	0.10209	0.00100	0.02707	0.00100
230	0.10131	0.00100	0.02751	0.00100
240	0.10036	0.00100	0.02840	0.00100
250	0.09759	0.00100	0.02815	0.00100
260	0.09727	0.00100	0.02871	0.00100
270	0.09564	0.00100	0.03198	0.00100
280	0.09365	0.00100	0.02912	0.00100
290	0.09332	0.00100	0.03053	0.00100
300	0.09078	0.00100	0.02761	0.00100
