T(°C)	Na–F2'	Δ[Na–F2']	Na–F2''	Δ[Na–F2'']	Na–O1	Δ[Na–O1]	Na–O2	Δ[Na–O2]
25	2.3843	0.0305	3.0349	0.0249	2.4694	0.0304	2.8195	0.0279
40	2.3842	0.0301	3.0395	0.0241	2.4612	0.0296	2.8382	0.0277
60	2.3825	0.0277	3.0376	0.0240	2.4617	0.0296	2.8470	0.0273
80	2.3752	0.0275	3.0428	0.0235	2.4641	0.0288	2.8575	0.0271
100	2.3791	0.0274	3.0339	0.0227	2.4844	0.0271	2.8711	0.0251
120	2.3822	0.0274	3.0292	0.0227	2.4885	0.0271	2.8894	0.0251
140	2.3902	0.0274	3.0189	0.0228	2.5070	0.0277	2.9082	0.0251
160	2.3817	0.0274	3.0280	0.0228	2.5119	0.0277	2.9309	0.0265
180	2.3806	0.0275	3.0243	0.0236	2.5291	0.0280	2.9431	0.0275
200	2.3826	0.0275	3.0305	0.0236	2.5344	0.0281	2.9542	0.0275
220	2.3809	0.0275	3.0339	0.0236	2.5304	0.0289	2.9602	0.0275
230	2.3881	0.0276	3.0291	0.0236	2.5350	0.0281	2.9661	0.0275
240	2.3771	0.0273	3.0284	0.0232	2.5339	0.0273	2.9621	0.0273
250	2.3878	0.0273	3.0087	0.0231	2.5461	0.0267	2.9617	0.0271
260	2.3758	0.0273	3.0092	0.0232	2.5421	0.0273	2.9614	0.0272
270	2.3665	0.0274	3.0052	0.0232	2.5529	0.0267	2.9652	0.0272
280	2.3680	0.0276	2.9957	0.0244	2.5590	0.0273	2.9687	0.0272
290	2.3528	0.0276	2.9938	0.0244	2.5573	0.0273	2.9755	0.0272
300	2.3504	0.0291	2.9797	0.0245	2.5698	0.0274	2.9809	0.0272
