T(°C)	Na–F2'	Δ[Na–F2']	Na–F2''	Δ[Na–F2'']	Na–O1	Δ[Na–O1]	Na–O2	Δ[Na–O2]
25	2.4173	0.0349	2.7460	0.0334	2.3691	0.0332	3.0647	0.0387
40	2.4112	0.0348	2.7494	0.0327	2.3624	0.0328	3.0757	0.0377
60	2.4213	0.0348	2.7297	0.0326	2.3668	0.0323	3.0846	0.0362
80	2.4254	0.0348	2.7328	0.0327	2.3854	0.0315	3.1000	0.0363
100	2.4295	0.0348	2.7322	0.0327	2.3819	0.0315	3.1223	0.0363
120	2.4298	0.0346	2.7338	0.0323	2.3904	0.0307	3.1612	0.0362
140	2.4275	0.0346	2.7430	0.0324	2.3897	0.0307	3.1810	0.0362
160	2.4277	0.0346	2.7426	0.0324	2.3961	0.0307	3.1868	0.0369
180	2.4200	0.0347	2.7382	0.0324	2.4128	0.0302	3.2033	0.0365
200	2.4245	0.0344	2.7402	0.0320	2.4113	0.0302	3.2171	0.0363
220	2.3994	0.0343	2.7634	0.0307	2.4085	0.0302	3.2496	0.0365
230	2.4070	0.0343	2.7707	0.0315	2.4001	0.0294	3.2388	0.0363
240	2.3926	0.0348	2.7580	0.0324	2.4238	0.0303	3.2419	0.0369
250	2.3682	0.0348	2.7601	0.0324	2.4213	0.0302	3.2450	0.0369
260	2.3727	0.0363	2.7711	0.0324	2.4090	0.0302	3.2362	0.0369
270	2.3798	0.0363	2.7600	0.0324	2.4118	0.0303	3.2510	0.0386
280	2.3624	0.0363	2.7804	0.0324	2.4092	0.0303	3.2670	0.0385
290	2.3668	0.0359	2.7797	0.0315	2.4111	0.0294	3.2959	0.0384
300	2.3691	0.0355	2.7920	0.0290	2.4039	0.0289	3.3133	0.0370
