T(°C)	"(°C)	Nb–F1"	Δ[Nb–F1]	Nb–O2b	Δ[Nb–O2b]
25	1.954	0.021	2.0315	0.0216
40	1.95	0.0207	2.0215	0.0215
60	1.9538	0.0207	2.0136	0.0211
80	1.9544	0.0191	2.0154	0.0212
100	1.9515	0.0191	2.0103	0.0195
120	1.9561	0.0191	2.0066	0.0195
140	1.9491	0.0191	1.9983	0.0195
160	1.9478	0.0191	1.9993	0.0212
180	1.9447	0.0191	1.9986	0.0217
200	1.9534	0.019	2.0005	0.0217
220	1.9465	0.0208	1.9978	0.0217
230	1.938	0.0208	1.9935	0.0217
240	1.9385	0.0208	1.9919	0.0217
250	1.9364	0.0208	1.9931	0.0212
260	1.9281	0.0208	1.9922	0.0212
270	1.9195	0.0208	1.9956	0.0212
280	1.9149	0.0208	1.9944	0.0212
290	1.9045	0.0207	1.9991	0.0213
300	1.9023	0.0208	1.9998	0.0213
