T (°C)	Ta–F1	Δ[Ta–F1]	Ta–O2'	Δ[Ta–O2']
25	2.1336	0.0294	2.1115	0.0315
40	2.135	0.0294	2.1026	0.0311
60	2.1307	0.0294	2.1092	0.0293
80	2.1215	0.0294	2.1067	0.0293
100	2.1176	0.0294	2.1089	0.0293
120	2.1212	0.0294	2.1009	0.0293
140	2.1162	0.0295	2.0979	0.0292
160	2.1183	0.0294	2.1002	0.0298
180	2.1306	0.0295	2.0957	0.0298
200	2.13	0.029	2.0964	0.0293
220	2.1277	0.0291	2.1007	0.0298
230	2.1331	0.029	2.1055	0.0298
240	2.1422	0.0295	2.0914	0.03
250	2.1471	0.0296	2.0832	0.03
260	2.1473	0.0295	2.0933	0.03
270	2.1679	0.03	2.0848	0.0323
280	2.1696	0.0295	2.0669	0.0323
290	2.1639	0.0295	2.07	0.0323
300	2.1604	0.0291	2.0574	0.0317
