T(°C)	F1–Nb–F2	Δ[F1–Nb–F2]	F1–Nb–O2a	Δ[F1–Nb–O2a]	F2–Nb–O2b	Δ[F2–Nb–O2b]	O2a–Nb–O2b	Δ[O2a–Nb–O2b]
25	81.582	0.843	76.5	0.907	102.886	0.826	97.625	1.024
40	81.218	0.826	77.042	0.876	103.072	0.827	97.325	1.026
60	81.225	0.824	76.949	0.867	103.31	0.819	97.16	0.994
80	80.97	0.798	77.291	0.867	103.016	0.821	97.289	0.996
100	80.762	0.799	77.56	0.827	103.331	0.784	97.004	0.958
120	80.732	0.8	77.572	0.826	103.526	0.786	96.822	0.959
140	80.858	0.802	77.714	0.828	103.541	0.787	96.64	0.961
160	80.735	0.803	78.277	0.868	102.946	0.828	96.699	1.003
180	80.863	0.805	78.393	0.878	102.782	0.836	96.633	1.038
200	81.061	0.799	78.423	0.874	102.462	0.834	96.659	1.031
220	81.11	0.835	78.255	0.88	102.694	0.841	96.597	1.042
230	81.189	0.838	78.171	0.882	102.766	0.842	96.611	1.043
240	81.092	0.839	78.023	0.88	103.087	0.842	96.489	1.042
250	80.728	0.841	77.896	0.872	103.75	0.834	96.394	1.006
260	80.703	0.843	77.939	0.874	103.729	0.833	96.317	1.006
270	80.448	0.845	78.011	0.876	103.831	0.831	96.428	1.006
280	80.433	0.885	77.918	0.876	104.11	0.871	96.297	1.004
290	80.11	0.887	78.305	0.88	103.947	0.868	96.414	1.006
300	80.149	0.894	78.037	0.882	104.436	0.871	96.286	1.003
