T(°C)	F1–Ta–F2	Δ[F1–Ta–F2]	F1–Ta–O2a	Δ[F1–Ta–O2a]	F2–Ta–O2b	Δ[F2–Ta–O2b]	O2a–Ta–O2b	Δ[O2a–Ta–O2b]
25	80.867	1.107	77.435	1.218	102.958	1.144	98.725	1.271
40	80.874	1.106	77.768	1.193	102.837	1.132	98.498	1.228
60	80.532	1.105	77.687	1.171	103.182	1.106	98.569	1.199
80	80.788	1.107	78.038	1.176	102.72	1.107	98.431	1.202
100	80.729	1.113	78.303	1.185	102.551	1.106	98.389	1.208
120	80.598	1.106	79.394	1.188	101.821	1.106	98.16	1.214
140	80.899	1.112	79.619	1.194	101.468	1.107	97.989	1.218
160	80.45	1.108	80.214	1.214	101.176	1.122	98.134	1.264
180	80.448	1.105	80.776	1.213	100.724	1.119	98.008	1.265
200	80.33	1.086	81.148	1.171	100.465	1.1	98.019	1.222
220	80.555	1.051	82.318	1.202	99.045	1.076	98.006	1.273
230	80.654	1.086	81.625	1.197	99.502	1.11	98.178	1.27
240	80.278	1.108	82.55	1.221	99.075	1.125	98.051	1.275
250	80.173	1.107	82.756	1.217	99.009	1.127	98.002	1.274
260	80.123	1.11	82.505	1.219	99.091	1.127	98.256	1.274
270	79.941	1.121	83.127	1.29	98.7	1.171	98.256	1.351
280	79.526	1.109	84.717	1.262	97.737	1.175	98.122	1.349
290	79.576	1.103	84.778	1.266	97.689	1.168	97.979	1.354
300	79.862	1.052	85.025	1.225	97.384	1.124	97.729	1.309
