T(°C)	F1-Nb-O1	Δ(F1-Nb-O1)	O1a–Nb–F2	Δ[O1a–Nb–F2]	O1a–Nb–O2a	Δ[O1a–Nb–O2a]	O2b-Nb-O1a	Δ(O2b-Nb-O1a)
25	90.827	0.944	90.322	0.985	94.565	1.019	101.025	0.996
40	90.989	0.944	90.153	0.982	94.056	1.018	101.467	1.001
60	90.871	0.947	90.181	0.95	93.801	1.019	101.932	1.005
80	90.876	0.951	90.126	0.956	94.143	1.025	102.033	1.01
100	90.974	0.913	90.025	0.924	93.744	0.994	102.141	0.975
120	90.952	0.914	90.216	0.927	93.413	0.994	102.395	0.978
140	90.902	0.958	90.113	0.95	93.092	1.001	102.441	1.019
160	90.844	0.961	90.283	0.952	93.336	1.007	102.539	1.022
180	90.855	0.968	90.111	0.958	93.577	1.016	102.378	1.032
200	90.983	0.963	90.172	0.954	93.809	1.016	102.346	1.028
220	90.676	0.978	89.942	0.984	93.78	1.046	102.529	1.043
230	90.457	0.97	89.871	0.96	93.613	1.013	102.432	1.034
240	90.414	0.972	90.242	0.962	93.469	1.012	102.359	1.036
250	90.258	0.934	90.275	0.943	93.227	1.004	102.112	0.998
260	90.439	0.972	90.835	0.957	93.113	1.006	101.898	1.031
270	90.164	0.94	90.979	0.941	93.132	1.006	101.56	0.999
280	89.985	0.975	91.264	0.957	93.03	1.003	101.096	1.032
290	89.829	0.978	91.5	0.954	92.974	1.005	100.823	1.03
300	89.629	1.018	91.64	0.989	92.873	0.999	99.949	1.027
