T(°C)	F1-Ta-O1	Δ(F1-Ta-O1)	O1a–Ta–F2	Δ[O1a–Ta–F2]	O1a–Ta–O2a	Δ[O1a–Ta–O2a]	O2b-Ta-O1a	Δ(O2b-Ta-O1a)
25	79.549	1.175	83.709	1.117	94.428	1.25	101.201	1.202
40	79.15	1.177	83.886	1.116	94.141	1.245	101.763	1.201
60	78.955	1.121	83.572	1.102	94.15	1.245	102.189	1.172
80	79.114	1.107	83.627	1.08	94.052	1.223	101.904	1.159
100	78.765	1.145	83.298	1.081	93.774	1.229	102.657	1.158
120	78.639	1.112	83.129	1.082	93.808	1.237	102.926	1.163
140	78.665	1.15	83.306	1.083	93.268	1.238	103.389	1.164
160	78.584	1.118	83.09	1.086	94.143	1.301	102.718	1.208
180	79.077	1.089	83.012	1.065	94.579	1.245	102.73	1.147
200	78.7	1.087	82.56	1.068	94.886	1.248	102.997	1.143
220	79.127	1.089	83.372	1.065	94.938	1.261	103.121	1.148
230	78.125	1.088	83.159	1.068	94.979	1.258	103.083	1.147
240	78.338	1.126	83.352	1.067	95.828	1.31	102.513	1.188
250	78.768	1.125	84.554	1.066	95.464	1.306	102.111	1.191
260	78.297	1.125	84.419	1.109	95.462	1.308	102.021	1.187
270	77.667	1.163	84.147	1.115	96.337	1.313	101.854	1.201
280	77.293	1.155	84.781	1.111	96.981	1.305	101.281	1.206
290	77.772	1.125	84.321	1.113	96.828	1.312	101.65	1.206
300	77.552	1.118	83.983	1.108	96.596	1.305	102.15	1.203
