T	F1–Nb–O1b	Δ[F1–Nb–O1b]	F2–Nb–O1b	Δ[F2–Nb–O1b]	O2a–Nb–O1b	Δ[O2a–Nb–O1b]	O1b–Nb–O2b	Δ[O1b–Nb–O2b]
25	80.359	0.927	80.918	0.923	90.786	0.996	88.478	0.954
40	80.029	0.925	81.064	0.914	91.299	0.993	88.181	0.957
60	79.441	0.921	81.035	0.888	91.28	0.985	88.443	0.953
80	79.008	0.904	80.924	0.887	90.982	0.983	88.712	0.949
100	78.827	0.859	81.456	0.847	90.942	0.936	88.649	0.9
120	78.754	0.858	81.448	0.849	91.052	0.935	88.492	0.901
140	78.876	0.892	81.958	0.864	91.036	0.934	88.346	0.933
160	78.845	0.892	81.775	0.864	90.873	0.945	88.27	0.94
180	78.813	0.891	82.21	0.864	90.411	0.946	88.42	0.94
200	78.903	0.889	82.082	0.864	90.364	0.943	88.237	0.938
220	79.028	0.913	81.996	0.885	90.61	0.973	88.285	0.95
230	79.258	0.91	82.201	0.866	90.639	0.947	88.37	0.945
240	79.483	0.909	81.812	0.866	90.82	0.944	88.295	0.945
250	79.765	0.878	81.941	0.852	90.86	0.939	88.422	0.914
260	80.211	0.914	81.527	0.866	91.062	0.943	88.012	0.946
270	80.539	0.882	81.611	0.848	90.815	0.938	88.255	0.913
280	81.186	0.923	81.363	0.88	91.028	0.945	88.28	0.951
290	81.45	0.926	81.165	0.878	91.108	0.948	88.396	0.951
300	82.231	0.971	81.287	0.915	91.118	0.952	88.713	0.958
