T(°C)	F1–Ta–O1b	Δ[F1–Ta–O1b]	F2–Ta–O1b	Δ[F2–Ta–O1b]	O2a–Ta–O1b	Δ[O2a–Ta–O1b]	O1b–Ta–O2b	Δ[O1b–Ta–O2b]
25	82.109	1.161	77.849	1.059	96.891	1.21	98.162	1.19
40	81.778	1.158	77.41	1.053	97.292	1.195	98.313	1.187
60	81.351	1.1	77.357	1.037	97.286	1.181	98.525	1.138
80	81.822	1.092	77.784	1.019	97.353	1.164	98.106	1.131
100	81.663	1.123	77.758	1.019	97.886	1.169	97.823	1.129
120	81.739	1.091	78.163	1.015	97.992	1.173	97.366	1.129
140	81.843	1.123	78.179	1.015	98.563	1.175	96.763	1.129
160	81.701	1.091	78.492	1.014	97.61	1.22	97.443	1.16
180	81.06	1.064	78.182	1.002	97.727	1.186	97.476	1.107
200	80.744	1.06	78.429	0.993	97.51	1.178	97.797	1.102
220	80.441	1.062	78.123	0.977	97.521	1.195	97.235	1.101
230	81.015	1.058	78.116	0.992	97.323	1.192	97.835	1.099
240	80.489	1.091	77.544	1.001	97.005	1.225	98.493	1.137
250	80.728	1.089	77.184	1	96.769	1.222	98.193	1.141
260	81.027	1.089	77.267	1.025	96.652	1.225	98.452	1.137
270	81.084	1.11	77.299	1.024	96.021	1.245	99.022	1.157
280	81.13	1.109	76.661	1.024	95.766	1.238	99.529	1.165
290	80.633	1.083	77.087	1.019	96.013	1.244	99.194	1.163
300	80.398	1.083	76.97	0.999	96.781	1.231	99.125	1.166
