 number  2Theta(deg.)             d(Å)           Q(Å-1)   sin_Th/l (A-1)        1/d (A-1)        wave
--------------------------------------------------------------------------------------------------------------
   1         11.29105          7.83015          0.80244          0.06386          0.12771          1.54056
   2         11.31915          7.83019          0.80243          0.06386          0.12771          1.54439
   3         19.93865          4.44938          1.41215          0.11238          0.22475          1.54056
   4         19.98875          4.44937          1.41215          0.11238          0.22475          1.54439
   5         20.26675          4.37808          1.43515          0.11421          0.22841          1.54056
   6         20.31765          4.37808          1.43515          0.11421          0.22841          1.54439
   7         22.00905          4.03528          1.55706          0.12391          0.24781          1.54056
   8         22.06445          4.03528          1.55706          0.12391          0.24781          1.54439
   9         22.69355          3.91509          1.60487          0.12771          0.25542          1.54056
  10         22.75075          3.91508          1.60487          0.12771          0.25542          1.54439
  11         23.83575          3.73000          1.68450          0.13405          0.26810          1.54056
  12         23.89585          3.73000          1.68450          0.13405          0.26810          1.54439
  13         24.19845          3.67491          1.70975          0.13606          0.27212          1.54056
  14         24.25955          3.67490          1.70976          0.13606          0.27212          1.54439
  15         24.44675          3.63814          1.72703          0.13743          0.27487          1.54056
  16         24.50845          3.63814          1.72703          0.13743          0.27487          1.54439
  17         28.11615          3.17111          1.98138          0.15767          0.31535          1.54056
  18         28.18745          3.17112          1.98138          0.15767          0.31535          1.54439
  19         28.52905          3.12615          2.00988          0.15994          0.31988          1.54056
  20         28.60145          3.12615          2.00988          0.15994          0.31988          1.54439
  21         28.66375          3.11176          2.01917          0.16068          0.32136          1.54056
  22         28.73655          3.11176          2.01917          0.16068          0.32136          1.54439
  23         29.05885          3.07035          2.04641          0.16285          0.32570          1.54056
  24         29.13275          3.07034          2.04641          0.16285          0.32570          1.54439
  25         29.36135          3.03940          2.06725          0.16451          0.32901          1.54056
  26         29.43605          3.03939          2.06725          0.16451          0.32901          1.54439
  27         29.44295          3.03116          2.07286          0.16495          0.32991          1.54056
  28         29.51785          3.03116          2.07287          0.16495          0.32991          1.54439
  29         32.44645          2.75710          2.27891          0.18135          0.36270          1.54056
  30         32.52935          2.75710          2.27891          0.18135          0.36270          1.54439
  31         33.07175          2.70639          2.32161          0.18475          0.36950          1.54056
  32         33.10695          2.70359          2.32402          0.18494          0.36988          1.54056
  33         33.15635          2.70639          2.32161          0.18475          0.36950          1.54439
  34         33.19165          2.70359          2.32402          0.18494          0.36988          1.54439
  35         33.87465          2.64405          2.37635          0.18910          0.37821          1.54056
  36         33.96145          2.64405          2.37635          0.18910          0.37821          1.54439
  37         34.32955          2.61005          2.40730          0.19157          0.38313          1.54056
  38         34.41755          2.61005          2.40730          0.19157          0.38313          1.54439
  39         35.08525          2.55554          2.45865          0.19565          0.39131          1.54056
  40         35.17535          2.55554          2.45865          0.19565          0.39131          1.54439
  41         35.28095          2.54182          2.47193          0.19671          0.39342          1.54056
  42         35.37155          2.54182          2.47193          0.19671          0.39342          1.54439
  43         36.35465          2.46917          2.54465          0.20250          0.40499          1.54056
  44         36.44815          2.46917          2.54465          0.20250          0.40499          1.54439
  45         36.51195          2.45889          2.55529          0.20334          0.40669          1.54056
  46         36.60595          2.45889          2.55529          0.20334          0.40669          1.54439
